Here's the extraction plan for each canonical column:

1.  **NCT**
    *   **found_in_pdf**: true
    *   **extraction_plan**: The NCT identifier is reported on page 12 under the "CLINICAL TRIAL INFORMATION" heading. Extract the value "NCT02799602".
    *   **value**: NCT02799602

2.  **PubMed ID**
    *   **found_in_pdf**: false
    *   **extraction_plan**: The PubMed ID is not reported in this PDF. This document is a direct publication from the American Society of Clinical Oncology, not a PubMed entry.
    *   **value**: Not reported

3.  **Trial Name**
    *   **found_in_pdf**: true
    *   **extraction_plan**: The trial name is "ARASENS" and is explicitly mentioned in the title of the article on page 1.
    *   **value**: ARASENS

4.  **Author**
    *   **found_in_pdf**: true
    *   **extraction_plan**: The authors are listed on page 1 at the beginning of the article. Extract "Maha Hussain et al.".
    *   **value**: Maha Hussain et al.

5.  **Year**
    *   **found_in_pdf**: true
    *   **extraction_plan**: The publication year is reported on page 1 at the bottom: "J Clin Oncol 00.© 2023 by American Society of Clinical Oncology". Extract "2023".
    *   **value**: 2023

6.  **Full Pub or Abstract**
    *   **found_in_pdf**: true
    *   **extraction_plan**: This document is a full publication, indicated by its length, detailed methodology, results, discussion, and references. The abstract is a section within the full publication on page 1.
    *   **value**: Full Pub

7.  **Phase**
    *   **found_in_pdf**: true
    *   **extraction_plan**: The phase of the trial is reported in the title on page 1: "in the Phase III ARASENS Trial". Extract "III".
    *   **value**: III

8.  **Original/Follow Up**
    *   **found_in_pdf**: true
    *   **extraction_plan**: The document is an "original report" as indicated by the section title on page 1: "original reports".
    *   **value**: Original
