Column,NCT00104715_Gravis_GETUG_EU'15,NCT00268476_Attard_STAMPEDE_Lancet'23,NCT00268476_James_STAMPEDE_IJC'22,NCT00309985_Kriayako_CHAARTED_JCO'18,NCT00309985_Sweeney_CHAARTED_NEJM'15,NCT02799602_Hussain_ARASENS_JCO'23
1,,,,,,1.0
2,,,,,,0.0
3,,,,,,0.0
4,,,,,,0.0
5,,,,,,1.0
6,,,,,,1.0
Add-on Treatment,1.0,0.75,1.0,1.0,0.0,1.0
Adverse Events - N (%) | All-Cause Grade 3 or Higher | Control,1.0,,0.0,1.0,1.0,0.0
Adverse Events - N (%) | All-Cause Grade 3 or Higher | Treatment,1.0,0.5,0.0,0.0,1.0,0.0
Adverse Events - N (%) | Treatment-related Grade 3 or Higher | Control,1.0,1.0,1.0,1.0,1.0,1.0
Adverse Events - N (%) | Treatment-related Grade 3 or Higher | Treatment,1.0,1.0,1.0,1.0,0.0,1.0
Adverse Events - N (%) | Treatment-related Grade 5 | Control,1.0,1.0,0.0,1.0,1.0,1.0
Adverse Events - N (%) | Treatment-related Grade 5 | Treatment,0.75,0.5,0.0,0.0,1.0,1.0
Author,0.0,0.0,0.0,0.0,0.0,1.0
COE_RCT_IND_OVERALL_RJ,0.0,0.0,0.0,0.0,0.0,1.0
Class of Agent in Treatment Arm 1,0.75,0.75,0.25,0.0,0.0,0.75
Column 1: Median OS (mo) | Overall | Treatment,,,,1.0,,
Column 1: Median On-Treatment Duration (mo) | Control,,,,,1.0,
Column 1: Median PFS (mo) | High volume | Control,,,,,1.0,
Column 1: No. of Deaths - N | Control,,,,1.0,1.0,
Column 1: PS - N (%) | 0 | Control,,,,0.0,,
Column 1: Race - N (%) | White | Treatment,,1.0,,,,
Column 1: Region - N (%) | Africa | Control,1.0,,,,,1.0
Column 1: Total Participants - N,,,0.0,,,
Column 2: Median OS (mo) | Low volume | Treatment,,,,1.0,,
Column 2: Median On-Treatment Duration (mo) | Treatment,,,,,0.0,
Column 2: Median PFS (mo) | Low volume | Treatment,,,,,1.0,
Column 2: No. of Deaths - N | Treatment,,,,1.0,1.0,
Column 2: PS - N (%) | 1-2 | Treatment,,,,0.0,,
Column 2: Race - N (%) | Asian | Treatment,,1.0,,,,
Column 2: Region - N (%) | Europe | Control,,,,,,1.0
Column 2: Region - N (%) | North America | Control,1.0,,,,,
Column 3: Median OS (mo) | High volume | Treatment,,,,1.0,,
Column 3: Median PFS (mo) | Low volume | Control,,,,,1.0,
Column 3: PS - N (%) | 1-2 | Control,,,,0.0,,
Column 3: Race - N (%) | Unknown | Control,,1.0,,,,
Column 3: Region - N (%) | Africa | Treatment,,,,,,1.0
Column 3: Region - N (%) | South America | Control,1.0,,,,,
Column 4: Median OS (mo) | High volume | Control,,,,1.0,,
Column 4: Median PFS (mo) | Overall | Treatment,,,,,1.0,
Column 4: PS - N (%) | 0 | Treatment,,,,0.0,,
Column 4: Region - N (%) | North America | Treatment,1.0,,,,,
Column 4: Region - N (%) | South America | Treatment,,,,,,1.0
Column 4: Volume of disease - N (%) | High | Control,,1.0,,,,
Column 5: Adverse Events - N (%) | All-Cause Grade 3 or Higher | Control,,0.5,,,,
Column 5: Median OS (mo) | Overall | Control,,,,1.0,,
Column 5: Median PFS (mo) | Overall | Control,,,,,1.0,
Column 5: Region - N (%) | Europe | Control,0.0,,,,,
Column 5: Region - N (%) | Oceania | Control,,,,,,1.0
Column 6: Median OS (mo) | Low volume | Control,,,,0.0,,
Column 6: Median PFS (mo) | High volume | Treatment,,,,,1.0,
Column 6: Region - N (%) | Asia | Treatment,1.0,,,,,
Column 6: Region - N (%) | South America | Control,,1.0,,,,1.0
Control Arm,1.0,0.75,1.0,1.0,0.0,1.0
Control Arm - N,1.0,0.75,0.75,1.0,1.0,1.0
Docetaxel administration - N (%) | Control,0.0,0.0,0.0,0.0,0.0,0.0
Docetaxel administration - N (%) | Treatment,0.0,0.75,0.0,0.75,0.5,0.0
