1.  **OS Rate (%) | Overall | Treatment**
    *   **found_in_pdf**: false
    *   **extraction_plan**: The document reports the median overall survival time for the ADT plus D arm as 62.1 months (95% CI, 49.5–73.7) in the Abstract (page 1) and Section 3.1 (page 3). However, a specific overall survival rate (percentage) at the latest follow-up is not numerically reported in the text or tables. Kaplan-Meier curves are provided, but a precise percentage is not explicitly stated.

2.  **OS Rate (%) | Overall | Control**
    *   **found_in_pdf**: false
    *   **extraction_plan**: The document reports the median overall survival time for the ADT arm as 48.6 months (95% CI, 40.9–60.6) in the Abstract (page 1) and Section 3.1 (page 3). However, a specific overall survival rate (percentage) at the latest follow-up is not numerically reported in the text or tables. Kaplan-Meier curves are provided, but a precise percentage is not explicitly stated.

3.  **OS Rate (%) | Synchronous | Treatment**
    *   **found_in_pdf**: false
    *   **extraction_plan**: The document reports the median overall survival time for patients with metastases at diagnosis (upfront metastatic patients) in the ADT plus D arm as 52.6 months (95% CI, 43.3-66.8) in Section 3.1 (page 4). However, a specific overall survival rate (percentage) at the latest follow-up is not numerically reported in the text or tables.

4.  **OS Rate (%) | Synchronous | Control**
    *   **found_in_pdf**: false
    *   **extraction_plan**: The document reports the median overall survival time for patients with metastases at diagnosis (upfront metastatic patients) in the ADT arm as 41.5 months (95% CI, 36.3-54.5) in Section 3.1 (page 4). However, a specific overall survival rate (percentage) at the latest follow-up is not numerically reported in the text or tables.

5.  **OS Rate (%) | Metachronous | Treatment**
    *   **found_in_pdf**: false
    *   **extraction_plan**: The document reports that the median overall survival time for patients with metastases after failure of local treatment in the ADT plus D arm was "not reached" (95% CI, 69.5–NR) in Section 3.1 (page 4). However, a specific overall survival rate (percentage) at the latest follow-up is not numerically reported in the text or tables.

6.  **OS Rate (%) | Metachronous | Control**
    *   **found_in_pdf**: false
    *   **extraction_plan**: The document reports the median overall survival time for patients with metastases after failure of local treatment in the ADT arm as 69.8 months (95% CI, 62.2-NR) in Section 3.1 (page 4). However, a specific overall survival rate (percentage) at the latest follow-up is not numerically reported in the text or tables.

7.  **OS Rate (%) | High volume | Treatment**
    *   **found_in_pdf**: false
    *   **extraction_plan**: The document reports the median overall survival time for high-volume disease (HVD) patients in the ADT plus D arm as 39.8 months (95% CI, 28.0–53.4) in the Abstract (page 1) and Section 3.1 (page 3). However, a specific overall survival rate (percentage) at the latest follow-up is not numerically reported in the text or tables. Kaplan-Meier curves are provided, but a precise percentage is not explicitly stated.

8.  **OS Rate (%) | High volume | Control**
    *   **found_in_pdf**: false
    *   **extraction_plan**: The document reports the median overall survival time for high-volume disease (HVD) patients in the ADT arm as 35.1 months (95% CI, 29.9–43.6) in the Abstract (page 1) and Section 3.1 (page 3). However, a specific overall survival rate (percentage) at the latest follow-up is not numerically reported in the text or tables. Kaplan-Meier curves are provided, but a precise percentage is not explicitly stated.

9.  **OS Rate (%) | Low volume | Treatment**
    *   **found_in_pdf**: false
    *   **extraction_plan**: The document reports that the median overall survival time for low-volume disease (LVD) patients in the ADT plus D arm was "not reached" (NR; 95% CI, 69.5-NR) in the Abstract (page 1) and Section 3.1 (page 3). However, a specific overall survival rate (percentage) at the latest follow-up is not numerically reported in the text or tables. Kaplan-Meier curves are provided, but a precise percentage is not explicitly stated.

10. **OS Rate (%) | Low volume | Control**
    *   **found_in_pdf**: false
    *   **extraction_plan**: The document reports the median overall survival time for low-volume disease (LVD) patients in the ADT arm as 83.4 months (95% CI, 61.8-NR) in the Abstract (page 1) and Section 3.1 (page 3). However, a specific overall survival rate (percentage) at the latest follow-up is not numerically reported in the text or tables. Kaplan-Meier curves are provided, but a precise percentage is not explicitly stated.
