The requested information is reported in the PDF.

1.  **Gleason score - N (%) | ≤ 7 | Treatment**
    *   found_in_pdf: true
    *   extraction_plan:
        *   Page: 5
        *   Source: Table
        *   Instructions: Extract the value from the "Gleason Score" row, "≤7" sub-row, under the "Abiraterone trial | Standard of care plus abiraterone (n=501)" column, which is 115 (23%). Also extract the value from the "Gleason Score" row, "≤7" sub-row, under the "Abiraterone and enzalutamide trial | Standard of care plus enzalutamide and abiraterone (n=462)" column, which is 79 (17%).
    *   value:
        *   Abiraterone trial: 115 (23%)
        *   Abiraterone and enzalutamide trial: 79 (17%)

2.  **Gleason score - N (%) | ≤ 7 | Control**
    *   found_in_pdf: true
    *   extraction_plan:
        *   Page: 5
        *   Source: Table
        *   Instructions: Extract the value from the "Gleason Score" row, "≤7" sub-row, under the "Abiraterone trial | Standard of care (n=502)" column, which is 118 (24%). Also extract the value from the "Gleason Score" row, "≤7" sub-row, under the "Abiraterone and enzalutamide trial | Standard of care (n=454)" column, which is 92 (20%).
    *   value:
        *   Abiraterone trial: 118 (24%)
        *   Abiraterone and enzalutamide trial: 92 (20%)

3.  **Gleason score - N (%) | ≥ 8 | Treatment**
    *   found_in_pdf: true
    *   extraction_plan:
        *   Page: 5
        *   Source: Table
        *   Instructions: For the "Abiraterone trial | Standard of care plus abiraterone (n=501)" column, sum the counts and percentages for Gleason scores "8", "9", and "10". This results in 117+231+18 = 366 (23%+46%+4% = 73%). For the "Abiraterone and enzalutamide trial | Standard of care plus enzalutamide and abiraterone (n=462)" column, sum the counts and percentages for Gleason scores "8", "9", and "10". This results in 94+258+17 = 369 (20%+56%+4% = 80%).
    *   value:
        *   Abiraterone trial: 366 (73%)
        *   Abiraterone and enzalutamide trial: 369 (80%)

4.  **Gleason score - N (%) | ≥ 8 | Control**
    *   found_in_pdf: true
    *   extraction_plan:
        *   Page: 5
        *   Source: Table
        *   Instructions: For the "Abiraterone trial | Standard of care (n=502)" column, sum the counts and percentages for Gleason scores "8", "9", and "10". This results in 106+245+23 = 374 (21%+49%+5% = 75%). For the "Abiraterone and enzalutamide trial | Standard of care (n=454)" column, sum the counts and percentages for Gleason scores "8", "9", and "10". This results in 88+239+18 = 345 (19%+53%+4% = 76%).
    *   value:
        *   Abiraterone trial: 374 (75%)
        *   Abiraterone and enzalutamide trial: 345 (76%)
