1.  **NCT**
    *   **found_in_pdf**: true
    *   **extraction_plan**: The NCT identifier is reported in the "Background" section of the abstract on page 1: "STAMPEDE is registered with ClinicalTrials.gov (NCT00268476)". It is also mentioned in the "Methods" section on page 3 and in the "Role of the funding source" section on page 6.
    *   **value**: NCT00268476

2.  **PubMed ID**
    *   **found_in_pdf**: false
    *   **extraction_plan**: The PubMed ID is not reported in the provided PDF. This document is the article itself, not a database entry that would typically list its own PubMed ID.

3.  **Trial Name**
    *   **found_in_pdf**: true
    *   **extraction_plan**: The trial name is mentioned in the title of the article on page 1: "Abiraterone acetate plus prednisolone with or without enzalutamide for patients with metastatic prostate cancer starting androgen deprivation therapy: final results from two randomised phase 3 trials of the STAMPEDE platform protocol". The STAMPEDE platform protocol is also frequently referenced throughout the text.
    *   **value**: STAMPEDE platform protocol (specifically, two randomised phase 3 trials within it: abiraterone trial and abiraterone and enzalutamide trial)

4.  **Author**
    *   **found_in_pdf**: true
    *   **extraction_plan**: The authors are listed on page 1 at the beginning of the article: "Gerhardt Attard, Laura Murphy, Noel W Clarke, Ashwin Sachdeva, Craig Jones, Alex Hoyle, William Cross, Robert J Jones, Christopher C Parker, Silke Gillessen, Adrian Cook, Chris Brawley, Clare Gilson, Hannah Rush, Hoda Abdel-Aty, Claire L Amos, Claire Murphy, Simon Chowdhury, Zafar Malik, J Martin Russell, Nazia Parkar, Cheryl Pugh, Carlos Diaz-Montana, Carmel Pezaro, Warren Grant, Helen Saxby, Ian Pedley, Joe O'Sullivan, Alison Birtle, Joanna Gale, Narayanan Srihari, Carys Thomas, Jacob Tanguay, John Wagstaff, Prantik Das, Emma Gray, Mymoona Alzouebi, Omi Parikh, Angus Robinson, Amir H Montazeri, James Wylie, Anjali Zarkar, Richard Cathomas, Michael D Brown, Yatin Jain, David P Dearnaley, Malcolm D Mason, Duncan Gilbert, Ruth E Langley, Robin Millman, David Matheson, Matthew R Sydes, Louise C Brown, Mahesh K B Parmar, Nicholas D James, for the STAMPEDE investigators".
    *   **value**: Gerhardt Attard et al.

5.  **Year**
    *   **found_in_pdf**: true
    *   **extraction_plan**: The publication year is stated in the footer of page 1: "Lancet Oncol 2023".
    *   **value**: 2023

6.  **Full Pub or Abstract**
    *   **found_in_pdf**: true
    *   **extraction_plan**: The document contains a detailed "Methods," "Findings," "Discussion," and "References" section, indicating it is a full publication rather than just an abstract.
    *   **value**: Full Pub

7.  **Phase**
    *   **found_in_pdf**: true
    *   **extraction_plan**: The phase is mentioned in the title on page 1: "final results from two randomised phase 3 trials". It is also stated in the "Methods" section on page 3: "We analysed two open-label, randomised, controlled, phase 3 trials of the STAMPEDE platform protocol".
    *   **value**: 3

8.  **Original/Follow Up**
    *   **found_in_pdf**: true
    *   **extraction_plan**: The title on page 1 states "final results from two randomised phase 3 trials". The "Background" section on page 1 also mentions "Here, we aimed to evaluate long-term outcomes..." and "The STAMPEDE abiraterone trial has now closed, 10 years after initiation of accrual, providing the opportunity to assess new data on long-term efficacy of intensified hormone treatment...". The "Methods" section on page 3 states "Here, we report long-term outcomes of patients in the abiraterone trial and primary results from the abiraterone and enzalutamide trial."
    *   **value**: Follow up
