Here's the extraction plan for each canonical column:

1.  **Previous local therapy - N (%) | Prostatectomy | Treatment**
    *   **found_in_pdf**: false
    *   **extraction_plan**: The specific number and percentage of participants who received prostatectomy as a previous local therapy in the treatment arm is not reported. Table 1 (pages 5-6) includes a row for "Previous treatment to prostate" but this is a general category and does not specify prostatectomy.

2.  **Previous local therapy - N (%) | Prostatectomy | Control**
    *   **found_in_pdf**: false
    *   **extraction_plan**: The specific number and percentage of patients who received prostatectomy as a previous local therapy in the control arm is not reported. Table 1 (pages 5-6) includes a row for "Previous treatment to prostate" but this is a general category and does not specify prostatectomy.

3.  **Previous local therapy - N (%) | Orchiectomy | Treatment**
    *   **found_in_pdf**: true
    *   **extraction_plan**:
        *   **Abiraterone trial (Standard of care plus abiraterone arm)**: 3 (1%)
        *   **Abiraterone and enzalutamide trial (Standard of care plus enzalutamide and abiraterone arm)**: 1 (<1%)
        *   **Page Number**: 6
        *   **Source Type**: Table (Table 1: Baseline characteristics)
        *   **Instructions**: Locate "Table 1: Baseline characteristics" on page 6. In the "Abiraterone trial" section, find the column "Standard of care plus abiraterone (n=501)". In the "Abiraterone and enzalutamide trial" section, find the column "Standard of care plus enzalutamide and abiraterone (n=462)". For both columns, read the value in the row "Orchiectomy" under "Planned or current hormone therapy".

4.  **Previous local therapy - N (%) | Orchiectomy | Control**
    *   **found_in_pdf**: true
    *   **extraction_plan**:
        *   **Abiraterone trial (Standard of care arm)**: 3 (1%)
        *   **Abiraterone and enzalutamide trial (Standard of care arm)**: 0
        *   **Page Number**: 6
        *   **Source Type**: Table (Table 1: Baseline characteristics)
        *   **Instructions**: Locate "Table 1: Baseline characteristics" on page 6. In the "Abiraterone trial" section, find the column "Standard of care (n=502)". In the "Abiraterone and enzalutamide trial" section, find the column "Standard of care (n=454)". For both columns, read the value in the row "Orchiectomy" under "Planned or current hormone therapy".

5.  **Previous local therapy - N (%) | Radiotherapy | Treatment**
    *   **found_in_pdf**: false
    *   **extraction_plan**: The specific number and percentage of participants who received radiotherapy as a *previous* local therapy in the treatment arm is not reported. Table 1 (pages 5-6) includes "Palliative radiotherapy planned as standard of care", which refers to radiotherapy planned *during* the trial, not necessarily *previous* to the trial. The row "Previous treatment to prostate" is too general.

6.  **Previous local therapy - N (%) | Radiotherapy | Control**
    *   **found_in_pdf**: false
    *   **extraction_plan**: The specific number and percentage of patients who received radiotherapy as a *previous* local therapy in the control arm is not reported. Table 1 (pages 5-6) includes "Palliative radiotherapy planned as standard of care", which refers to radiotherapy planned *during* the trial, not necessarily *previous* to the trial. The row "Previous treatment to prostate" is too general.
