Okay, I will analyze the provided PDF chunks to determine if the requested columns are reported and provide extraction instructions where applicable.

1.  Volume of disease - N (%) | High | Treatment
    *   found_in_pdf: True
    *   page_number: 4
    *   source_type: text
    *   extraction_plan: Extract "263 patients (66.2%) in the combination arm" from the text. The treatment arm is the combination arm.

2.  Volume of disease - N (%) | High | Control
    *   found_in_pdf: True
    *   page_number: 4
    *   source_type: text
    *   extraction_plan: Extract "250 patients (63.6%) in the ADT alone arm" from the text. The control arm is the ADT alone arm.

3.  Volume of disease - N (%) | Low | Control
    *   found_in_pdf: True
    *   page_number: 4
    *   source_type: text
    *   extraction_plan: Calculate from the total number of patients in the ADT alone arm (393) minus the number of patients with high volume disease in the ADT alone arm (250). This gives 143 patients. The percentage is not explicitly stated but can be calculated as 143/393 = 36.4%.
