Okay, I will analyze the provided PDF chunks to determine if the requested columns are reported and provide extraction instructions where applicable.

1.  Median Age (years) | Treatment
    *   found\_in\_pdf: True
    *   page\_number: 4
    *   source\_type: text
    *   extraction\_plan: "The median age was 64 years (range, 36 to 88 years) in the combination arm" - Extract "64" from the text.

2.  Median Age (years) | Control
    *   found\_in\_pdf: True
    *   page\_number: 4
    *   source\_type: text
    *   extraction\_plan: "versus 63 years (range, 39 to 91 years) in the ADT alone arm." - Extract "63" from the text.
