Column Name,Definition,Label
NCT,"What national Clinical Trial identifier, a unique identification number assigned to a clinical trial? Your answer should be a single string or 'NA'",NCT
PubMed ID,What a unique identifier assigned to a clinical trial publication in the PubMed database? Your answer should be a single string or 'NA',PubMed ID
Trial Name,What the title or identifier of the clinical trial being referred to in the study? Your answer should be a single string or 'NA' ,Trial Name
Author,What the name of the person or people responsible for writing or publishing the clinical trial study? Your answer should be a name/ list of names (you can use th et al. format )or 'NA',Author
Year,What the year in which the clinical trial was published? Your answer should be a single number (year) or 'NA',Year
Full Pub or Abstract,What indicates whether the study results were fully published or only an abstract is available? Your answer should be Full Pub/Abstract or 'NA',Full Pub or Abstract
Phase,"What the stage or step in the clinical trial process, typically denoted by a Roman numeral (e.g. I, II, III, IV), which defines the scope, objectives, and duration of the trial? ",Phase
Original/Follow Up,"What the designation of the clinical trial as either an original study or a follow-up study? Your answer should be either ""Original/Followup""",Original/Follow Up
Number of Arms Included,What is the total count of experimental treatment arms and control arms included in the clinical trial? ,Number of Arms Included
Treatment Arm(s),What name of the experimental arm or arms in the clinical trial? ,Treatment Arm(s)
Control Arm,"What the name of the arm in the clinical trial that does not receive the experimental treatment, serving as a comparison group?",Control Arm
Class of Agent in Treatment Arm 1,What the type or category of therapeutic agent used in the first experimental arm of the clinical trial? ,Class of Agent in Treatment Arm 1
Treatment Arm 1 Regimen,What the specific treatment protocol or regimen used in the first experimental arm of the clinical trial? ,Treatment Arm 1 Regimen
Total Participants - N,What the total number of participants included in the clinical trial? ,Total Participants - N
Treatment Arm - N,What the total number of participants included in the experimental arm of the clinical trial? ,Treatment Arm - N
Control Arm - N,What the total number of participants included in the control arm of the clinical trial? ,Control Arm - N
Median Follow-Up Duration (mo),"What the median length of time, measured in months, that participants in the clinical trial were followed up or monitored after the start of the trial? Your answer should be a single number (months) or 'NA'",Median Follow-Up Duration (mo)
Median On-Treatment Duration (mo) | Treatment,What is the median duration in months that participants in the treatment arm of the trial received on-treatment therapy? Your answer should be a single number (months) or 'NA',Median On-Treatment Duration (mo)
Median On-Treatment Duration (mo) | Control,What is the median duration in months of participants receiving treatment in the control arm of the clinical trial? Your answer should be a single number (months) or 'NA',Median On-Treatment Duration (mo)
Quality of Life reported,Does the clinical trial report results on the quality of life of participants? Your answer should be 'Yes' or 'No',Quality of Life reported
Quality of Life Scale,"What a measure of the participants' overall well-being and satisfaction with their health status, as assessed through a standardized questionnaire or survey, reflecting their perceived quality of life during the clinical trial? ",Quality of Life Scale
Reporting by prognostic groups - Y/N | Synchronous,"What indicates whether the results of the clinical trial were reported based on prognostic groups with synchronous metastases, where synchronous metastases refers to metastases present at the time of diagnosis of prostate cancer. with a response of either ""yes"" (Y) or ""no"" (N)?",Reporting by prognostic groups - Y/N
Reporting by prognostic groups - Y/N | Metachronous,"What indicates whether the results of the clinical trial were reported based on prognostic groups of patients with metachronous diseases (diseases that occur at different times). with a response of either ""yes"" (Y) or ""no"" (N)? ",Reporting by prognostic groups - Y/N
Reporting by prognostic groups - Y/N | High volume,"What indicates whether the results of the clinical trial were reported based on prognostic groups with high volume/burden of metastases, with a response of either ""yes"" (Y) or ""no"" (N)? ",Reporting by prognostic groups - Y/N
Reporting by prognostic groups - Y/N | Low volume,"What indicates whether the results were reported based on prognostic groups having a low volume of metastasis, with a yes or no response (Y/N)? ",Reporting by prognostic groups - Y/N
Mode of metastases - N (%) | Synchronous | Treatment,"What the number and percentage of participants with synchronous metastases (metastases at the time of diagnosis of prostate cancer) in the treatment arm of the clinical trial? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Mode of metastases - N (%)
Mode of metastases - N (%) | Synchronous | Control,"What the number and percentage of participants with synchronous metastases (metastases at the time of diagnosis of prostate cancer) in the control arm of the clinical trial? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Mode of metastases - N (%)
Mode of metastases - N (%) | Metachronous | Treatment,"What number and percentage of participants with metachronous metastases (metastases that occur after the diagnosis of prostate cancer) in the treatment arm of the clinical trial? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Mode of metastases - N (%)
Mode of metastases - N (%) | Metachronous | Control,"What the number and percentage of patients with metachronous metastases (metastases that occur after the diagnosis of prostate cancer) in the control arm of the clinical trial? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Mode of metastases - N (%)
Volume of disease - N (%) | High | Treatment,"What the number and percentage of participants in the treatment arm of the clinical trial with a high volume or burden of metastatic disease? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Volume of disease - N (%)
Volume of disease - N (%) | High | Control,"What the number and percentage of participants in the control arm of the clinical trial with high volume/burden metastasis? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Volume of disease - N (%)
Trial,What name of the clinical study or experiment being referenced? ,Trial
Volume of disease - N (%) | Low | Control,"What the number and percentage of participants in the control arm of the trial with low volume/burden metastases? Your answer should be in the form 'number (percentage)' e.g., 45 (65%) or 'NA'",Volume of disease - N (%)
